play_idx,rmse,position,seed
0,0.353740394115448,FS,42
1,1.6307494640350342,SS,42
2,0.9938441514968872,CB,42
3,2.300565481185913,CB,42
4,0.618381917476654,SS,42
5,1.323416829109192,SS,42
6,0.39803546667099,CB,42
7,1.2933063507080078,CB,42
8,1.2758991718292236,FS,42
9,0.49542930722236633,SS,42
10,0.3335058093070984,SS,42
11,0.8419821262359619,CB,42
12,1.253622055053711,CB,42
13,0.45277756452560425,FS,42
14,7.949131488800049,FS,42
15,0.1619282066822052,SS,42
16,3.9401564598083496,CB,42
17,3.152613878250122,FS,42
18,6.4412455558776855,CB,42
19,0.7096423506736755,FS,42
20,0.3342786133289337,CB,42
21,1.7922043800354004,SS,42
22,2.366420269012451,CB,42
23,1.05754554271698,CB,42
24,3.9352939128875732,FS,42
25,0.9326536655426025,SS,42
26,0.44045013189315796,SS,42
27,0.5309998393058777,CB,42
28,1.790420651435852,CB,42
29,0.26724308729171753,FS,42
30,1.6370365619659424,SS,42
31,0.09700432419776917,CB,42
32,0.4440315365791321,CB,42
33,1.4759111404418945,FS,42
34,1.3859837055206299,CB,42
35,0.9955958724021912,SS,42
36,1.8545243740081787,CB,42
37,0.2331409454345703,FS,42
38,1.148023247718811,CB,42
39,1.7512718439102173,SS,42
40,0.9320709705352783,SS,42
41,0.5716524720191956,CB,42
42,0.7049815654754639,CB,42
43,0.33700448274612427,FS,42
44,0.24339047074317932,SS,42
45,1.062098503112793,SS,42
46,1.874774694442749,CB,42
47,1.08297860622406,CB,42
48,1.7307357788085938,FS,42
49,2.83617901802063,SS,42
50,2.8385696411132812,CB,42
51,0.9850393533706665,CB,42
52,2.0312206745147705,FS,42
53,1.3547035455703735,SS,42
54,0.8515257239341736,SS,42
55,0.6315474510192871,CB,42
56,0.39450642466545105,CB,42
57,1.2254202365875244,FS,42
58,2.708261251449585,SS,42
59,0.6445919871330261,SS,42
60,2.2262625694274902,CB,42
61,2.021008253097534,CB,42
62,0.35475844144821167,FS,42
63,1.7703683376312256,FS,42
64,0.7131825089454651,SS,42
65,0.3755674958229065,CB,42
66,0.6050584316253662,CB,42
67,2.001706838607788,FS,42
68,0.8938084840774536,SS,42
69,0.9208616018295288,CB,42
70,1.2747807502746582,CB,42
71,0.049019861966371536,FS,42
72,1.7375633716583252,SS,42
73,0.659429132938385,CB,42
74,1.0859698057174683,CB,42
75,1.3423583507537842,FS,42
76,0.7970139980316162,SS,42
77,0.49881213903427124,CB,42
78,1.0302327871322632,CB,42
79,1.0998269319534302,SS,42
80,0.5402891635894775,SS,42
81,0.6983739137649536,CB,42
82,2.3970565795898438,CB,42
83,1.3060086965560913,FS,42
84,1.0866512060165405,FS,42
85,0.41051411628723145,SS,42
86,0.6998732089996338,CB,42
87,4.752137660980225,CB,42
88,2.045314311981201,SS,42
89,3.6745402812957764,SS,42
90,5.79832124710083,CB,42
91,8.370361328125,CB,42
92,3.725285530090332,FS,42
93,0.5257991552352905,SS,42
94,1.8493188619613647,SS,42
95,1.2343231439590454,CB,42
96,1.0024865865707397,CB,42
97,1.4849027395248413,FS,42
98,0.5007317662239075,SS,42
99,1.0281472206115723,SS,42
100,1.1532036066055298,CB,42
101,0.5327660441398621,CB,42
102,0.23003210127353668,FS,42
103,0.39161768555641174,SS,42
104,1.1044973134994507,SS,42
105,4.530979156494141,CB,42
106,1.7379651069641113,CB,42
107,1.9923619031906128,FS,42
108,1.5098075866699219,SS,42
109,1.3779892921447754,SS,42
110,2.3720436096191406,CB,42
111,0.4311772882938385,CB,42
112,0.43140989542007446,FS,42
113,0.4077710509300232,SS,42
114,0.4539124071598053,SS,42
115,0.6968818306922913,CB,42
116,0.3550104796886444,CB,42
117,0.6963670253753662,FS,42
118,0.32839900255203247,FS,42
119,1.1190625429153442,CB,42
120,0.13787640631198883,SS,42
121,1.1375524997711182,CB,42
122,0.5797376036643982,FS,42
123,2.071995735168457,FS,42
124,0.9029560089111328,CB,42
125,2.1464290618896484,SS,42
126,0.806121826171875,CB,42
127,1.0761669874191284,FS,42
128,0.7612776756286621,CB,42
129,2.2542827129364014,FS,42
130,0.6113417744636536,SS,42
131,0.2130632847547531,CB,42
132,0.21750739216804504,SS,42
133,0.4460527300834656,CB,42
134,0.4340829849243164,FS,42
135,0.7130425572395325,CB,42
136,5.39506721496582,FS,42
137,5.233461856842041,CB,42
138,0.6007910966873169,SS,42
139,1.4443438053131104,CB,42
140,5.512890338897705,FS,42
141,7.622617244720459,CB,42
142,0.7720050811767578,SS,42
143,0.16306520998477936,SS,42
144,2.145576000213623,CB,42
145,0.3403426706790924,CB,42
146,0.5664835572242737,FS,42
147,0.7046937346458435,SS,42
148,1.018954873085022,SS,42
149,0.4556303322315216,CB,42
150,2.402637004852295,CB,42
151,1.4292008876800537,FS,42
152,0.6231674551963806,FS,42
153,0.8016923666000366,SS,42
154,0.2013612538576126,SS,42
155,0.7913681268692017,CB,42
156,2.301384449005127,CB,42
157,0.8373685479164124,FS,42
158,0.9056554436683655,CB,42
159,1.5215171575546265,SS,42
160,1.2510696649551392,CB,42
161,1.3077346086502075,FS,42
162,0.9678952097892761,CB,42
163,2.724391460418701,SS,42
164,2.752506732940674,SS,42
165,2.4976694583892822,CB,42
166,0.7076865434646606,CB,42
167,3.164860963821411,FS,42
168,0.8037033081054688,SS,42
169,1.7108287811279297,SS,42
170,4.668030738830566,CB,42
171,1.2265011072158813,CB,42
172,3.9558072090148926,FS,42
173,0.13332009315490723,SS,42
174,1.0453143119812012,CB,42
175,0.7928434014320374,CB,42
176,0.3990687131881714,FS,42
177,3.57537841796875,SS,42
178,8.282025337219238,CB,42
179,4.2703351974487305,CB,42
180,2.753455877304077,FS,42
181,0.9114956259727478,SS,42
182,0.11450694501399994,SS,42
183,0.48179277777671814,CB,42
184,0.4838164448738098,CB,42
185,1.3175115585327148,FS,42
186,1.0338387489318848,FS,42
187,1.9652782678604126,SS,42
188,2.7366883754730225,CB,42
189,2.4971933364868164,FS,42
190,6.383686065673828,CB,42
191,2.6850497722625732,SS,42
192,4.807683944702148,CB,42
193,3.440629243850708,SS,42
194,4.33896017074585,CB,42
195,2.785449504852295,CB,42
